연도,날짜,지점,관측값
2015,119,서울,0.1
2015,125,서울,3
2015,126,서울,0.5
2015,209,서울,0.2
2015,216,서울,10.5
2015,217,서울,0.5
2015,221,서울,8
2015,222,서울,2.5
2015,225,서울,0.5
2015,226,서울,0.5
2015,303,서울,5.5
2015,313,서울,0.1
2015,318,서울,1.5
2015,331,서울,2.5
2015,401,서울,2.5
2015,402,서울,28
2015,403,서울,3.5
2015,405,서울,0.5
2015,413,서울,6.5
2015,414,서울,10.5
2015,415,서울,1
2015,416,서울,7
2015,419,서울,12
2015,420,서울,5.5
2015,429,서울,3.5
2015,502,서울,0.5
2015,503,서울,3.5
2015,511,서울,14
2015,512,서울,9.5
2015,519,서울,1
2015,530,서울,0.4
2015,605,서울,1
2015,611,서울,7.5
2015,612,서울,0.5
2015,613,서울,0.5
2015,614,서울,15.5
2015,617,서울,9.5
2015,618,서울,3
2015,620,서울,44.5
2015,625,서울,2
2015,626,서울,12.5
2015,630,서울,2.5
2015,701,서울,0.5
2015,708,서울,0.5
2015,712,서울,29
2015,713,서울,10
2015,718,서울,0.5
2015,719,서울,5
2015,721,서울,11
2015,722,서울,1
2015,723,서울,16
2015,724,서울,26.5
2015,725,서울,80
2015,726,서울,40.5
2015,727,서울,1.5
2015,729,서울,4
2015,802,서울,16.5
2015,805,서울,0.1
2015,807,서울,11
2015,808,서울,7.5
2015,815,서울,0.1
2015,816,서울,29
2015,820,서울,0.4
2015,821,서울,2.5
2015,825,서울,5.5
2015,828,서울,0.3
2015,902,서울,0.5
2015,903,서울,18
2015,905,서울,5
2015,911,서울,2.5
2015,1001,서울,35
2015,1010,서울,3.5
2015,1011,서울,3.5
2015,1024,서울,10.5
2015,1026,서울,2
2015,1027,서울,26.5
2015,1029,서울,0.5
2015,1106,서울,4.5
2015,1107,서울,24.5
2015,1108,서울,10.5
2015,1109,서울,3.5
2015,1113,서울,22.5
2015,1114,서울,3.5
2015,1116,서울,5.5
2015,1118,서울,5.5
2015,1122,서울,3.5
2015,1123,서울,6.5
2015,1124,서울,0.5
2015,1125,서울,11
2015,1128,서울,0.1
2015,1129,서울,3
2015,1202,서울,13.5
2015,1203,서울,7.1
2015,1210,서울,0.3
2015,1214,서울,2.5
2015,1215,서울,0.1
2015,1221,서울,2
2015,1223,서울,0.4
2015,1226,서울,0.7
2015,1230,서울,2.5
2016,113,서울,0.4
2016,116,서울,0.1
2016,118,서울,0.2
2016,126,서울,0.3
2016,211,서울,0.1
2016,212,서울,18
2016,213,서울,21
2016,214,서울,2.5
2016,216,서울,0.8
2016,223,서울,0.9
2016,227,서울,0.2
2016,228,서울,4.1
2016,304,서울,0.1
2016,305,서울,40
2016,306,서울,0.2
2016,313,서울,0.1
2016,329,서울,0.1
2016,403,서울,2
2016,406,서울,3
2016,407,서울,7.5
2016,413,서울,1
2016,416,서울,23.5
2016,417,서울,20.5
2016,418,서울,1.5
2016,420,서울,0.5
2016,421,서울,17
2016,429,서울,0.3
2016,502,서울,16.5
2016,503,서울,27
2016,505,서울,7.5
2016,506,서울,9.5
2016,510,서울,13.5
2016,513,서울,0.5
2016,515,서울,45
2016,516,서울,2.5
2016,524,서울,38.5
2016,607,서울,0.1
2016,611,서울,3
2016,612,서울,1.5
2016,615,서울,15.5
2016,622,서울,30.5
2016,623,서울,0.1
2016,624,서울,3.5
2016,630,서울,0.2
2016,701,서울,108.5
2016,702,서울,4
2016,704,서울,29.5
2016,705,서울,100.5
2016,712,서울,3
2016,714,서울,0.1
2016,715,서울,1.5
2016,716,서울,46.5
2016,717,서울,2.5
2016,718,서울,0.2
2016,723,서울,0.5
2016,724,서울,0.5
2016,727,서울,0.5
2016,728,서울,0.2
2016,729,서울,59.5
2016,730,서울,0.5
2016,731,서울,0.2
2016,802,서울,2
2016,809,서울,1
2016,814,서울,0.2
2016,816,서울,0.5
2016,819,서울,11.5
2016,822,서울,0.4
2016,823,서울,8
2016,825,서울,4.5
2016,826,서울,20
2016,828,서울,1.5
2016,831,서울,17.5
2016,902,서울,4.5
2016,903,서울,0.5
2016,908,서울,4.5
2016,912,서울,2.5
2016,917,서울,7
2016,927,서울,13.5
2016,928,서울,0.5
2016,1002,서울,18.5
2016,1003,서울,6.5
2016,1007,서울,2
2016,1008,서울,6
2016,1016,서울,1.5
2016,1023,서울,2.5
2016,1025,서울,37
2016,1028,서울,0.3
2016,1031,서울,0.5
2016,1102,서울,0.1
2016,1103,서울,0.2
2016,1107,서울,5.5
2016,1108,서울,0.5
2016,1110,서울,0.4
2016,1111,서울,4
2016,1113,서울,0.5
2016,1114,서울,1.5
2016,1122,서울,0.2
2016,1126,서울,2.8
2016,1130,서울,1
2016,1205,서울,1.5
2016,1208,서울,3
2016,1209,서울,3
2016,1214,서울,0.1
2016,1219,서울,0.1
2016,1221,서울,29
2016,1222,서울,23.5
2016,1223,서울,0.1
2016,1227,서울,0.5
2016,1229,서울,0.3
2017,102,서울,0.3
2017,113,서울,0.6
2017,120,서울,4
2017,121,서울,2.1
2017,126,서울,0.3
2017,127,서울,3
2017,129,서울,4.5
2017,130,서울,0.1
2017,205,서울,0.5
2017,217,서울,4
2017,219,서울,1
2017,220,서울,0.5
2017,222,서울,5.1
2017,301,서울,5
2017,302,서울,0.5
2017,305,서울,0.5
2017,327,서울,0.4
2017,331,서울,1.5
2017,401,서울,1
2017,405,서울,37.5
2017,406,서울,3
2017,408,서울,0.5
2017,409,서울,0.5
2017,414,서울,6
2017,417,서울,5.5
2017,418,서울,7.5
2017,420,서울,0.1
2017,509,서울,2.5
2017,510,서울,2.5
2017,513,서울,6
2017,523,서울,5
2017,524,서울,0.1
2017,606,서울,15.5
2017,607,서울,12.5
2017,609,서울,0.1
2017,610,서울,4.5
2017,624,서울,3.5
2017,625,서울,1.5
2017,626,서울,29
2017,701,서울,0.5
2017,702,서울,92
2017,703,서울,67.5
2017,704,서울,0.5
2017,706,서울,34
2017,707,서울,16.5
2017,708,서울,4.5
2017,709,서울,32.5
2017,710,서울,144.5
2017,711,서울,1
2017,715,서울,42.5
2017,716,서울,22.5
2017,717,서울,7.5
2017,718,서울,2.5
2017,722,서울,0.5
2017,723,서울,133.5
2017,724,서울,3
2017,727,서울,3.5
2017,728,서울,8.5
2017,731,서울,3.5
2017,801,서울,2
2017,806,서울,5
2017,809,서울,2.5
2017,810,서울,5.5
2017,811,서울,0.5
2017,814,서울,1.5
2017,815,서울,93.5
2017,816,서울,2
2017,817,서울,0.5
2017,820,서울,124.5
2017,821,서울,5
2017,823,서울,31.5
2017,824,서울,14
2017,828,서울,9
2017,906,서울,2
2017,910,서울,0.5
2017,911,서울,24
2017,919,서울,8
2017,927,서울,0.5
2017,1001,서울,4
2017,1002,서울,1.5
2017,1006,서울,0.5
2017,1010,서울,0.4
2017,1011,서울,20
2017,1018,서울,0.1
2017,1102,서울,1
2017,1103,서울,1.5
2017,1110,서울,7.5
2017,1113,서울,4.5
2017,1122,서울,0.5
2017,1123,서울,1.2
2017,1125,서울,24
2017,1128,서울,0.5
2017,1203,서울,4
2017,1204,서울,0.1
2017,1205,서울,0.1
2017,1206,서울,1.2
2017,1210,서울,4.1
2017,1218,서울,3.4
2017,1220,서울,0.2
2017,1224,서울,20
2017,1230,서울,0.7
2017,1231,서울,1
2018,108,서울,0.9
2018,109,서울,0.5
2018,110,서울,0.3
2018,113,서울,0.4
2018,115,서울,0.2
2018,122,서울,3.3
2018,130,서울,2.9
2018,203,서울,0.5
2018,222,서울,0.4
2018,223,서울,3.7
2018,228,서울,25
2018,301,서울,0.5
2018,304,서울,11.5
2018,305,서울,3.5
2018,307,서울,0.5
2018,308,서울,4
2018,315,서울,27
2018,318,서울,0.5
2018,319,서울,1
2018,321,서울,1
2018,403,서울,0.1
2018,404,서울,18.5
2018,405,서울,10.5
2018,406,서울,6.5
2018,407,서울,0.2
2018,408,서울,3
2018,410,서울,5
2018,414,서울,9
2018,422,서울,15.5
2018,423,서울,59
2018,424,서울,3
2018,502,서울,12
2018,503,서울,1
2018,506,서울,22
2018,512,서울,32
2018,513,서울,0.5
2018,516,서울,45
2018,517,서울,83
2018,518,서울,6.5
2018,522,서울,12.5
2018,523,서울,6.5
2018,529,서울,1
2018,609,서울,0.5
2018,610,서울,0.5
2018,611,서울,5
2018,614,서울,29
2018,615,서울,16.5
2018,626,서울,71.5
2018,627,서울,1
2018,628,서울,26.5
2018,629,서울,6.5
2018,630,서울,14.5
2018,701,서울,83.5
2018,702,서울,59.5
2018,703,서울,0.1
2018,705,서울,0.5
2018,709,서울,14
2018,710,서울,16.5
2018,711,서울,3
2018,712,서울,1
2018,728,서울,7.5
2018,805,서울,2
2018,806,서울,6.5
2018,809,서울,2
2018,812,서울,5
2018,813,서울,1
2018,815,서울,1
2018,821,서울,5
2018,823,서울,3
2018,824,서울,7.5
2018,826,서울,2
2018,827,서울,19.5
2018,828,서울,96.5
2018,829,서울,42
2018,830,서울,9.5
2018,831,서울,0.1
2018,903,서울,34.5
2018,906,서울,1
2018,907,서울,0.5
2018,914,서울,0.5
2018,915,서울,0.2
2018,916,서울,2
2018,917,서울,0.1
2018,919,서울,0.2
2018,920,서울,5
2018,921,서울,18
2018,922,서울,6.5
2018,1005,서울,36.5
2018,1006,서울,55.5
2018,1010,서울,7
2018,1023,서울,5
2018,1026,서울,11
2018,1028,서울,5.5
2018,1107,서울,2
2018,1108,서울,64
2018,1109,서울,1
2018,1120,서울,0.2
2018,1121,서울,1
2018,1124,서울,10.9
2018,1203,서울,9.5
2018,1204,서울,5
2018,1213,서울,1.3
2018,1216,서울,0.3
2018,1217,서울,0.3
2019,201,서울,0.3
2019,203,서울,16
2019,207,서울,0.5
2019,215,서울,2.2
2019,216,서울,0.2
2019,219,서울,4.6
2019,315,서울,3.5
2019,320,서울,16.5
2019,321,서울,3.3
2019,323,서울,1.7
2019,330,서울,1.8
2019,406,서울,0.8
